,open,high,low,close,volume
2019-12-19,1351.91,1357.53,1348.75,1356.44,1521082.0
2019-12-20,1363.1,1364.0,1350.73,1351.22,2513849.0
2019-12-23,1358.73,1361.85,1348.0,1350.63,996967.0
2019-12-24,1350.21,1352.01,1344.17,1344.43,673410.0
2019-12-26,1346.55,1363.2,1345.51,1362.47,1183800.0
2019-12-27,1364.0,1367.05,1353.0,1354.64,1160873.0
2019-12-30,1356.81,1357.0,1337.84,1339.71,1000592.0
2019-12-31,1335.79,1340.66,1332.13,1339.39,976061.0
2020-01-02,1348.41,1368.68,1346.49,1368.68,1364265.0
2020-01-03,1348.0,1373.75,1347.32,1361.52,1170629.0
2020-01-06,1351.63,1398.32,1351.0,1397.81,2339343.0
2020-01-07,1400.46,1403.5,1391.56,1395.11,1726456.0
2020-01-08,1394.82,1411.85,1392.63,1405.04,1766274.0
2020-01-09,1421.93,1428.68,1410.21,1419.79,1661438.0
2020-01-10,1429.47,1434.94,1419.6,1428.96,1313178.0
2020-01-13,1435.25,1441.48,1425.37,1440.03,1525568.0
2020-01-14,1440.0,1442.63,1427.77,1430.59,1305636.0
2020-01-15,1433.02,1440.78,1431.66,1439.2,1077519.0
2020-01-16,1445.45,1450.7,1440.0,1450.16,1304040.0
2020-01-17,1462.54,1480.55,1456.55,1479.52,2621175.0
2020-01-21,1479.0,1489.88,1470.21,1482.25,2387178.0
2020-01-22,1489.73,1500.58,1482.66,1483.87,1422946.0
2020-01-23,1487.55,1493.5,1480.32,1484.69,1332562.0
2020-01-24,1492.82,1494.2,1463.18,1466.17,1489280.0
2020-01-27,1431.54,1436.58,1419.5,1431.73,1706566.0
2020-01-28,1441.74,1454.8,1430.36,1450.5,1486586.0
2020-01-29,1458.46,1464.14,1445.39,1456.7,1081964.0
2020-01-30,1438.1,1455.25,1435.0,1454.25,1355472.0
2020-01-31,1467.86,1469.67,1427.06,1432.78,2191075.0
2020-02-03,1461.65,1486.3,1456.61,1482.6,3608760.0
2020-02-04,1454.49,1467.34,1422.03,1445.41,4793967.0
2020-02-05,1463.61,1464.58,1429.68,1446.05,1818793.0
2020-02-06,1451.98,1481.56,1450.48,1475.97,1891079.0
2020-02-07,1467.39,1485.25,1465.41,1479.11,1418049.0
2020-02-10,1477.23,1508.88,1475.2,1508.66,1915072.0
2020-02-11,1513.27,1529.88,1505.45,1510.06,1742647.0
2020-02-12,1515.86,1520.3,1508.67,1518.63,1552136.0
2020-02-13,1510.0,1525.95,1504.0,1513.39,1145658.0
2020-02-14,1514.53,1520.05,1505.55,1518.73,1159857.0
2020-02-18,1514.34,1530.56,1511.01,1519.44,1284011.0
2020-02-19,1527.2,1530.74,1520.98,1524.87,1137338.0
2020-02-20,1519.01,1527.07,1504.26,1516.99,1298386.0
2020-02-21,1504.58,1510.95,1478.49,1483.46,2126843.0
2020-02-24,1423.05,1436.38,1406.79,1419.86,2478039.0
2020-02-25,1431.0,1436.85,1380.42,1386.32,2578966.0
2020-02-26,1394.98,1413.67,1376.55,1390.47,2490178.0
2020-02-27,1359.14,1369.4,1314.24,1314.95,3114476.0
2020-02-28,1274.31,1342.45,1268.21,1339.25,4010900.0
2020-03-02,1351.39,1387.47,1325.2,1386.32,2771463.0
2020-03-03,1397.68,1408.19,1329.24,1337.72,2830112.0
2020-03-04,1358.96,1382.78,1337.0,1381.6,2379856.0
2020-03-05,1345.55,1353.63,1301.64,1314.76,2718982.0
2020-03-06,1269.95,1302.75,1257.21,1295.74,3232315.0
2020-03-09,1204.96,1252.73,1198.04,1215.79,3462578.0
2020-03-10,1254.39,1275.85,1214.51,1275.17,2743566.0
2020-03-11,1248.27,1256.93,1191.14,1210.9,2741694.0
2020-03-12,1122.62,1188.75,1108.47,1111.55,4716293.0
2020-03-13,1174.99,1214.4,1112.29,1214.27,3969973.0
2020-03-16,1089.61,1145.47,1067.08,1073.0,4825981.0
2020-03-17,1090.64,1126.0,1049.1,1118.06,4159686.0
2020-03-18,1059.94,1104.99,1037.0,1091.19,4636840.0
2020-03-19,1088.22,1152.61,1055.55,1111.67,3703248.0
2020-03-20,1130.9,1138.48,1062.1,1068.21,4143897.0
2020-03-23,1056.37,1066.91,1008.87,1054.13,4183629.0
2020-03-24,1103.98,1133.33,1086.43,1130.01,3623435.0
2020-03-25,1124.58,1146.17,1083.01,1101.62,4516162.0
2020-03-26,1114.72,1171.48,1092.03,1162.92,3834422.0
2020-03-27,1127.47,1151.05,1104.0,1110.26,3139661.0
2020-03-30,1132.64,1151.0,1098.49,1146.31,2936827.0
2020-03-31,1148.73,1173.4,1136.72,1161.95,3263971.0
2020-04-01,1124.0,1129.42,1093.49,1102.1,2598519.0
2020-04-02,1100.0,1122.77,1093.13,1117.03,2820534.0
2020-04-03,1114.71,1118.79,1075.08,1092.7,2568694.0
2020-04-06,1133.0,1190.75,1125.0,1183.19,3165991.0
2020-04-07,1217.01,1220.78,1177.25,1182.56,3080955.0
