,open,high,low,close,volume
2017-06-09,164.74,168.5,142.75,149.6,92323200.0
2017-06-12,145.88,151.7,142.11,149.97,41793262.0
2017-06-13,154.4,154.77,145.65,151.4,41488612.0
2017-06-14,151.52,154.06,148.5,151.72,29431459.0
2017-06-15,146.96,153.6,146.5,152.37,23883179.0
2017-06-16,152.76,154.7,150.24,151.62,22554327.0
2017-06-19,153.41,157.53,153.26,157.32,19260255.0
2017-06-20,159.03,161.74,156.92,157.09,27169647.0
2017-06-21,158.21,159.62,155.7,159.47,16945632.0
2017-06-22,159.8,160.34,157.4,158.37,11596308.0
2017-06-23,158.68,159.32,153.22,153.83,24565502.0
2017-06-26,155.16,156.6,148.33,152.15,26418557.0
2017-06-27,151.44,151.79,146.35,146.58,24850612.0
2017-06-28,149.32,151.94,145.75,151.75,24660291.0
2017-06-29,150.6,150.72,144.08,146.68,26334702.0
2017-06-30,147.38,147.93,143.5,144.56,17992137.0
2017-07-03,145.05,145.6537,138.58,139.33,17722284.0
2017-07-05,141.9,144.22,141.13,143.05,20226442.0
2017-07-06,141.87,145.3799,139.76,143.48,18383056.0
2017-07-07,145.78,147.5,144.85,146.76,16258515.0
2017-07-10,149.74,154.0,148.6842,153.7,23720137.0
2017-07-11,153.85,156.19,152.15,155.88,18744156.0
2017-07-12,158.3,163.0,156.56,162.51,28283476.0
2017-07-13,163.0,166.3,158.75,160.63,34123997.0
2017-07-14,161.29,165.01,161.01,164.95,23349534.0
2017-07-17,166.33,167.5,161.75,164.25,22936328.0
2017-07-18,161.78,166.55,161.3,165.96,19123179.0
2017-07-19,166.33,167.4,164.61,165.1,17014089.0
2017-07-20,165.93,167.51,163.9121,167.5,17258237.0
2017-07-21,166.67,169.3,166.09,168.1,15886110.0
2017-07-24,168.39,168.78,165.72,166.15,15868676.0
2017-07-25,165.22,165.93,163.581,165.35,12002860.0
2017-07-26,167.68,169.927,165.85,167.26,15755026.0
2017-07-27,168.27,168.74,157.56,161.74,18888931.0
2017-07-28,160.29,165.38,159.28,164.39,12776296.0
2017-07-31,164.94,166.4,160.62,162.51,13800261.0
2017-08-01,162.125,164.56,161.0,164.49,10606575.0
